Trade History Report,,,,,,,,,,,,,,
Name:,,,Pawan Jatale,,,,,,,,,,,
Account:,,,"963254 (USD, EquitiSecurities-Demo, demo, Hedge)",,,,,,,,,,,
Company:,,,Equiti Securities Currencies Brokers L.L.C,,,,,,,,,,,
Date:,,,2025.08.07 13:40,,,,,,,,,,,
Positions,,,,,,,,,,,,,,
Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2025.08.05 13:47:47,52526535,EURJPY.sd,sell,0.38, 170.377, 170.760, 169.250,2025.08.05 14:49:02, 170.321,0.00,0.00, 14.41,,
2025.08.05 13:47:47,52526536,GBPJPY.sd,sell,1.38, 196.144, 196.250, 194.740,2025.08.05 14:49:02, 195.995,0.00,0.00, 139.26,,
2025.08.05 13:47:47,52526537,USDCAD.sd,sell,0.62, 1.38041, 1.38260, 1.37260,2025.08.05 14:49:02, 1.38032,0.00,0.00, 4.04,,
2025.08.05 13:47:47,52526538,USDJPY.sd,sell,0.43, 147.589, 147.930, 146.420,2025.08.05 14:49:02, 147.657,0.00,0.00,- 19.80,,
2025.08.05 13:47:47,52526539,XAUUSD.sd,buy,0.15,3 356.55,3 350.00,3 395.00,2025.08.05 14:34:06,3 350.00,0.00,0.00,- 98.25,,
2025.08.05 13:51:22,52526907,EURGBP.sd,buy,0.29, 0.86865, 0.86610, 0.87350,2025.08.07 10:38:59, 0.87350,0.00,- 9.62, 188.17,,
2025.08.05 14:11:18,52530536,XPTUSD.sd,buy,0.05,1 319.96,1 300.00,1 360.00,2025.08.05 14:49:02,1 312.64,0.00,0.00,- 36.60,,
2025.08.05 14:38:57,52533397,EURUSD.sd,buy,0.32, 1.15305, 1.15000, 1.15900,2025.08.06 13:07:29, 1.15900,0.00,- 2.63, 190.40,,
2025.08.05 14:49:02,52534929,EURJPY.sd,sell,0.31, 170.291, 170.760, 169.250,2025.08.05 18:32:02, 170.760,0.00,0.00,- 98.60,,
2025.08.05 14:49:02,52534931,GBPJPY.sd,sell,0.54, 195.976, 196.250, 194.740,2025.08.05 16:53:47, 196.250,0.00,0.00,- 100.10,,
2025.08.05 14:49:02,52534933,USDCAD.sd,sell,0.56, 1.38013, 1.38260, 1.37260,2025.08.07 10:48:22, 1.37260,0.00,- 3.36, 307.21,,
2025.08.05 14:49:02,52534938,XAUUSD.sd,sell,0.08,3 352.85,3 365.00,3 320.00,2025.08.05 15:36:29,3 365.00,0.00,0.00,- 97.20,,
2025.08.06 10:08:38,52641693,USDCHF.sd,sell,0.25, 0.80795, 0.81100, 0.80200,2025.08.07 15:03:57, 0.80881,0.00,- 6.08,- 26.58,,
2025.08.06 10:22:06,52643190,XAUUSD.sd,buy,0.06,3 370.02,3 355.00,3 400.00,2025.08.06 15:10:13,3 362.65,0.00,0.00,- 44.22,,
2025.08.06 10:34:36,52644517,GBPUSD.sd,buy,0.21, 1.32914, 1.32460, 1.33870,2025.08.07 14:00:07, 1.33870,0.00,- 2.34, 200.76,,
2025.08.06 15:10:12,52704100,EURJPY.sd,sell,0.4, 171.202, 171.560, 169.950,2025.08.06 18:32:07, 171.560,0.00,0.00,- 97.16,,
2025.08.06 15:10:13,52704101,GBPJPY.sd,sell,0.27, 196.395, 196.920, 195.420,2025.08.06 23:37:50, 196.920,0.00,0.00,- 96.13,,
2025.08.07 15:03:57,52872552,USDCHF.sd,sell,2.6, 0.80868, 0.80900, 0.80000,2025.08.07 15:15:04, 0.80900,0.00,0.00,- 102.84,,
Orders,,,,,,,,,,,,,,
Open Time,Order,Symbol,Type,Volume,Price,S / L,T / P,Time,State,,Comment,,,
2025.08.05 13:47:47,52526535,EURJPY.sd,sell,0.38 / 0.38,market, 170.760, 169.250,2025.08.05 13:47:47,filled,,,,,
2025.08.05 13:47:47,52526536,GBPJPY.sd,sell,1.38 / 1.38,market, 196.250, 194.740,2025.08.05 13:47:47,filled,,,,,
2025.08.05 13:47:47,52526537,USDCAD.sd,sell,0.62 / 0.62,market, 1.38260, 1.37260,2025.08.05 13:47:47,filled,,,,,
2025.08.05 13:47:47,52526538,USDJPY.sd,sell,0.43 / 0.43,market, 147.930, 146.420,2025.08.05 13:47:47,filled,,,,,
2025.08.05 13:47:47,52526539,XAUUSD.sd,buy,0.15 / 0.15,market,3 350.00,3 395.00,2025.08.05 13:47:47,filled,,,,,
2025.08.05 13:51:22,52526907,EURGBP.sd,buy,0.29 / 0.29,market, 0.86610, 0.87350,2025.08.05 13:51:22,filled,,,,,
2025.08.05 14:11:18,52530536,XPTUSD.sd,buy,0.05 / 0.05,market,1 300.00,1 360.00,2025.08.05 14:11:18,filled,,,,,
2025.08.05 14:34:06,52532896,XAUUSD.sd,sell,0.15 / 0.15,3 350.00,,,2025.08.05 14:34:06,filled,,[sl 3350.00],,,
2025.08.05 14:38:57,52533397,EURUSD.sd,buy,0.32 / 0.32,market, 1.15000, 1.15900,2025.08.05 14:38:57,filled,,,,,
2025.08.05 14:49:02,52534928,EURJPY.sd,buy,0.38 / 0.38,market,,,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534929,EURJPY.sd,sell,0.31 / 0.31,market, 170.760, 169.250,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534930,GBPJPY.sd,buy,1.38 / 1.38,market,,,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534931,GBPJPY.sd,sell,0.54 / 0.54,market, 196.250, 194.740,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534932,USDCAD.sd,buy,0.62 / 0.62,market,,,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534933,USDCAD.sd,sell,0.56 / 0.56,market, 1.38260, 1.37260,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534934,USDJPY.sd,buy,0.43 / 0.43,market,,,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534935,USDJPY.sd,sell,0.51 / 0.51,market, 147.930, 146.420,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534936,XPTUSD.sd,sell,0.05 / 0.05,market,,,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534937,XPTUSD.sd,buy,0.05 / 0.05,market,1 300.00,1 360.00,2025.08.05 14:49:02,filled,,,,,
2025.08.05 14:49:02,52534938,XAUUSD.sd,sell,0.08 / 0.08,market,3 365.00,3 320.00,2025.08.05 14:49:02,filled,,,,,
2025.08.05 15:36:29,52542417,XAUUSD.sd,buy,0.08 / 0.08,3 365.00,,,2025.08.05 15:36:29,filled,,[sl 3365.00],,,
2025.08.05 16:53:47,52562143,GBPJPY.sd,buy,0.54 / 0.54, 196.250,,,2025.08.05 16:53:47,filled,,[sl 196.250],,,
2025.08.05 18:32:02,52589288,EURJPY.sd,buy,0.31 / 0.31, 170.760,,,2025.08.05 18:32:02,filled,,[sl 170.760],,,
2025.08.06 04:34:54,52627157,USDJPY.sd,buy limit,0.01 / 0, 147.575,,,2025.08.06 04:35:02,canceled,,,,,
2025.08.06 10:08:38,52641693,USDCHF.sd,sell,0.25 / 0.25,market, 0.81100, 0.80200,2025.08.06 10:08:38,filled,,,,,
2025.08.06 10:22:06,52643190,XAUUSD.sd,buy,0.06 / 0.06,market,3 355.00,3 400.00,2025.08.06 10:22:06,filled,,,,,
2025.08.06 10:34:36,52644517,GBPUSD.sd,buy,0.21 / 0.21,market, 1.32460, 1.33870,2025.08.06 10:34:36,filled,,,,,
2025.08.06 13:07:29,52672724,EURUSD.sd,sell,0.32 / 0.32, 1.15900,,,2025.08.06 13:07:29,filled,,[tp 1.15900],,,
2025.08.06 15:10:12,52704100,EURJPY.sd,sell,0.4 / 0.4,market, 171.560, 169.950,2025.08.06 15:10:12,filled,,,,,
2025.08.06 15:10:13,52704101,GBPJPY.sd,sell,0.27 / 0.27,market, 196.920, 195.420,2025.08.06 15:10:13,filled,,,,,
2025.08.06 15:10:13,52704102,XAUUSD.sd,sell,0.06 / 0.06,market,,,2025.08.06 15:10:13,filled,,,,,
2025.08.06 15:10:13,52704103,XAUUSD.sd,buy,0.12 / 0.12,market,3 355.00,3 400.00,2025.08.06 15:10:13,filled,,,,,
2025.08.06 18:32:07,52742112,EURJPY.sd,buy,0.4 / 0.4, 171.560,,,2025.08.06 18:32:07,filled,,[sl 171.560],,,
2025.08.06 23:37:50,52784433,GBPJPY.sd,buy,0.27 / 0.27, 196.920,,,2025.08.06 23:37:50,filled,,[sl 196.920],,,
2025.08.07 10:38:59,52830927,EURGBP.sd,sell,0.29 / 0.29, 0.87350,,,2025.08.07 10:38:59,filled,,[tp 0.87350],,,
2025.08.07 10:48:22,52831745,USDCAD.sd,buy,0.56 / 0.56, 1.37260,,,2025.08.07 10:48:22,filled,,[tp 1.37260],,,
2025.08.07 14:00:07,52858335,GBPUSD.sd,sell,0.21 / 0.21, 1.33870,,,2025.08.07 14:00:07,filled,,[tp 1.33870],,,
2025.08.07 15:03:57,52872550,GBPJPY.sd,buy,0.31 / 0.31,market, 197.220, 198.750,2025.08.07 15:03:57,filled,,,,,
2025.08.07 15:03:57,52872551,USDCHF.sd,buy,0.25 / 0.25,market,,,2025.08.07 15:03:57,filled,,,,,
2025.08.07 15:03:57,52872552,USDCHF.sd,sell,2.6 / 2.6,market, 0.80900, 0.80000,2025.08.07 15:03:57,filled,,,,,
2025.08.07 15:03:57,52872553,EURUSD.sd,buy,0.35 / 0.35,market, 1.16140, 1.17190,2025.08.07 15:03:57,filled,,,,,
2025.08.07 15:04:01,52872566,USDCAD.sd,sell,0.46 / 0.46,market, 1.37730, 1.36830,2025.08.07 15:04:01,filled,,,,,
2025.08.07 15:15:04,52873968,USDCHF.sd,buy,2.6 / 2.6, 0.80900,,,2025.08.07 15:15:04,filled,,[sl 0.80900],,,
Deals,,,,,,,,,,,,,,
Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance,Comment,
2025.08.05 13:47:47,50632850,EURJPY.sd,sell,in,0.38, 170.377,52526535,0.00,0.00,0.00,0.00,9 976.89,,
2025.08.05 13:47:47,50632851,GBPJPY.sd,sell,in,1.38, 196.144,52526536,0.00,0.00,0.00,0.00,9 976.89,,
2025.08.05 13:47:47,50632852,USDCAD.sd,sell,in,0.62, 1.38041,52526537,0.00,0.00,0.00,0.00,9 976.89,,
2025.08.05 13:47:47,50632853,USDJPY.sd,sell,in,0.43, 147.589,52526538,0.00,0.00,0.00,0.00,9 976.89,,
2025.08.05 13:47:47,50632854,XAUUSD.sd,buy,in,0.15,3 356.55,52526539,0.00,0.00,0.00,0.00,9 976.89,,
2025.08.05 13:51:22,50633235,EURGBP.sd,buy,in,0.29, 0.86865,52526907,0.00,0.00,0.00,0.00,9 976.89,,
2025.08.05 13:58:52,50634440,,balance,,,,,0.00,0.00,0.00, 23.11,10 000.00,,
2025.08.05 14:11:18,50636883,XPTUSD.sd,buy,in,0.05,1 319.96,52530536,0.00,0.00,0.00,0.00,10 000.00,,
2025.08.05 14:34:06,50639284,XAUUSD.sd,sell,out,0.15,3 350.00,52532896,0.00,0.00,0.00,- 98.25,9 901.75,[sl 3350.00],
2025.08.05 14:38:57,50639788,EURUSD.sd,buy,in,0.32, 1.15305,52533397,0.00,0.00,0.00,0.00,9 901.75,,
2025.08.05 14:49:02,50641326,EURJPY.sd,buy,out,0.38, 170.321,52534928,0.00,0.00,0.00, 14.41,9 916.16,,
2025.08.05 14:49:02,50641327,EURJPY.sd,sell,in,0.31, 170.291,52534929,0.00,0.00,0.00,0.00,9 916.16,,
2025.08.05 14:49:02,50641328,GBPJPY.sd,buy,out,1.38, 195.995,52534930,0.00,0.00,0.00, 139.26,10 055.42,,
2025.08.05 14:49:02,50641329,GBPJPY.sd,sell,in,0.54, 195.976,52534931,0.00,0.00,0.00,0.00,10 055.42,,
2025.08.05 14:49:02,50641330,USDCAD.sd,buy,out,0.62, 1.38032,52534932,0.00,0.00,0.00, 4.04,10 059.46,,
2025.08.05 14:49:02,50641331,USDCAD.sd,sell,in,0.56, 1.38013,52534933,0.00,0.00,0.00,0.00,10 059.46,,
2025.08.05 14:49:02,50641332,USDJPY.sd,buy,out,0.43, 147.657,52534934,0.00,0.00,0.00,- 19.80,10 039.66,,
2025.08.05 14:49:02,50641333,USDJPY.sd,sell,in,0.51, 147.642,52534935,0.00,0.00,0.00,0.00,10 039.66,,
2025.08.05 14:49:02,50641334,XPTUSD.sd,sell,out,0.05,1 312.64,52534936,0.00,0.00,0.00,- 36.60,10 003.06,,
2025.08.05 14:49:02,50641335,XPTUSD.sd,buy,in,0.05,1 319.73,52534937,0.00,0.00,0.00,0.00,10 003.06,,
2025.08.05 14:49:02,50641336,XAUUSD.sd,sell,in,0.08,3 352.85,52534938,0.00,0.00,0.00,0.00,10 003.06,,
2025.08.05 15:36:29,50648804,XAUUSD.sd,buy,out,0.08,3 365.00,52542417,0.00,0.00,0.00,- 97.20,9 905.86,[sl 3365.00],
2025.08.05 16:53:47,50668545,GBPJPY.sd,buy,out,0.54, 196.250,52562143,0.00,0.00,0.00,- 100.10,9 805.76,[sl 196.250],
2025.08.05 18:32:02,50695829,EURJPY.sd,buy,out,0.31, 170.760,52589288,0.00,0.00,0.00,- 98.60,9 707.16,[sl 170.760],
2025.08.06 10:08:38,50748028,USDCHF.sd,sell,in,0.25, 0.80795,52641693,0.00,0.00,0.00,0.00,9 707.16,,
2025.08.06 10:22:06,50749547,XAUUSD.sd,buy,in,0.06,3 370.02,52643190,0.00,0.00,0.00,0.00,9 707.16,,
2025.08.06 10:34:36,50750858,GBPUSD.sd,buy,in,0.21, 1.32914,52644517,0.00,0.00,0.00,0.00,9 707.16,,
2025.08.06 13:07:29,50779582,EURUSD.sd,sell,out,0.32, 1.15900,52672724,0.00,0.00,- 2.63, 190.40,9 894.93,[tp 1.15900],
2025.08.06 15:10:12,50810919,EURJPY.sd,sell,in,0.4, 171.202,52704100,0.00,0.00,0.00,0.00,9 894.93,,
2025.08.06 15:10:13,50810920,GBPJPY.sd,sell,in,0.27, 196.395,52704101,0.00,0.00,0.00,0.00,9 894.93,,
2025.08.06 15:10:13,50810921,XAUUSD.sd,sell,out,0.06,3 362.65,52704102,0.00,0.00,0.00,- 44.22,9 850.71,,
2025.08.06 15:10:13,50810922,XAUUSD.sd,buy,in,0.12,3 362.88,52704103,0.00,0.00,0.00,0.00,9 850.71,,
2025.08.06 18:32:07,50849184,EURJPY.sd,buy,out,0.4, 171.560,52742112,0.00,0.00,0.00,- 97.16,9 753.55,[sl 171.560],
2025.08.06 23:37:50,50892057,GBPJPY.sd,buy,out,0.27, 196.920,52784433,0.00,0.00,0.00,- 96.13,9 657.42,[sl 196.920],
2025.08.07 10:38:59,50938601,EURGBP.sd,sell,out,0.29, 0.87350,52830927,0.00,0.00,- 9.62, 188.17,9 835.97,[tp 0.87350],
2025.08.07 10:48:22,50939438,USDCAD.sd,buy,out,0.56, 1.37260,52831745,0.00,0.00,- 3.36, 307.21,10 139.82,[tp 1.37260],
2025.08.07 14:00:07,50966039,GBPUSD.sd,sell,out,0.21, 1.33870,52858335,0.00,0.00,- 2.34, 200.76,10 338.24,[tp 1.33870],
2025.08.07 15:03:57,50980300,GBPJPY.sd,buy,in,0.31, 197.703,52872550,0.00,0.00,0.00,0.00,10 338.24,,
2025.08.07 15:03:57,50980301,USDCHF.sd,buy,out,0.25, 0.80881,52872551,0.00,0.00,- 6.08,- 26.58,10 305.58,,
2025.08.07 15:03:57,50980302,USDCHF.sd,sell,in,2.6, 0.80868,52872552,0.00,0.00,0.00,0.00,10 305.58,,
2025.08.07 15:03:57,50980303,EURUSD.sd,buy,in,0.35, 1.16434,52872553,0.00,0.00,0.00,0.00,10 305.58,,
2025.08.07 15:04:01,50980316,USDCAD.sd,sell,in,0.46, 1.37425,52872566,0.00,0.00,0.00,0.00,10 305.58,,
2025.08.07 15:15:04,50981723,USDCHF.sd,buy,out,2.6, 0.80900,52873968,0.00,0.00,0.00,- 102.84,10 202.74,[sl 0.80900],
,,,,,,,,0.00,0.00,- 24.03,10 226.77,10 202.74,,
Open Positions,,,,,,,,,,,,,,
Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Market Price,Swap,,Profit,Comment,,
2025.08.05 14:49:02,52534935,USDJPY.sd,sell,0.51, 147.642, 147.930, 146.420, 147.297,- 12.02,, 119.45,,,
2025.08.05 14:49:02,52534937,XPTUSD.sd,buy,0.05,1 319.73,1 300.00,1 360.00,1 334.54,- 1.23,, 74.05,,,
2025.08.06 15:10:13,52704103,XAUUSD.sd,buy,0.12,3 362.88,3 355.00,3 400.00,3 386.18,- 4.11,, 279.60,,,
2025.08.07 15:03:57,52872550,GBPJPY.sd,buy,0.31, 197.703, 197.220, 198.750, 197.717,0.00,, 2.95,,,
2025.08.07 15:03:57,52872553,EURUSD.sd,buy,0.35, 1.16434, 1.16140, 1.17190, 1.16466,0.00,, 11.20,,,
2025.08.07 15:04:01,52872566,USDCAD.sd,sell,0.46, 1.37425, 1.37730, 1.36830, 1.37388,0.00,, 12.39,,,
,,,,,,,,,,0.00, 499.64,,,
Balance:,,,10 202.74,,,Free Margin:,,,10 113.53,,,,,
Credit Facility:,,,0.00,,,Margin:,,, 571.37,,,,,
Floating P/L:,,, 499.52,,,Margin Level:,,,1 870.05%,,,,,
Equity:,,,10 684.90,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Total Net Profit:,,, 179.63,Gross Profit:,,,1 128.49,Gross Loss:,,,- 948.86,,,
Profit Factor:,,, 1.19,Expected Payoff:,,, 4.18,,,,,,,
Recovery Factor:,,, 0.42,Sharpe Ratio:,,, 0.05,,,,,,,
Balance Drawdown:,,,,,,,,,,,,,,
Balance Drawdown Absolute:,,, 365.69,Balance Drawdown Maximal:,,,427.34 (4.25%),Balance Drawdown Relative:,,,4.25% (427.34),,,
Total Trades:,,, 43,Short Trades (won %):,,,18 (27.78%),Long Trades (won %):,,,25 (24.00%),,,
,,,,Profit Trades (% of total):,,,11 (25.58%),Loss Trades (% of total):,,,32 (74.42%),,,
,,,,Largest profit trade:,,, 303.85,Largest loss trade:,,,- 102.84,,,
,,,,Average profit trade:,,, 102.59,Average loss trade:,,,- 29.65,,,
,,,,Maximum consecutive wins ($):,,,4 (102.19),Maximum consecutive losses ($):,,,15 (-183.01),,,
,,,,Maximal consecutive profit (count):,,,680.82 (3),Maximal consecutive loss (count):,,,-352.30 (5),,,
,,,,Average consecutive wins:,,, 3,Average consecutive losses:,,, 6,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,