Instrument,Scenario,Action,Entry,Target,,,,
XAUUSD,ScenarioOne,Sell,3310,3280,,,,
XAUUSD,Alternative,Buy,3325,3355,,,,
XAGUSD,ScenarioOne,Sell,37.45,36.44,,,,
XAGUSD,Alternative,Buy,38.05,39.04,,,,
XPTUSD,ScenarioOne,Sell,1325,1275,,,,
XPTUSD,Alternative,Buy,1350,1400,,,,
WTI USOILROLL,ScenarioOne,Buy,69.2,71.29,,,,
WTI USOILROLL,Alternative,Sell,68.21,66.23,,,,
WTI USOIL U5 Future Contract,ScenarioOne,Buy,69.49,71.47,,,,
WTI USOIL U5 Future Contract,Alternative,Sell,68.43,66.42,,,,
BRENT UKOILROLL,ScenarioOne,Buy,71.94,73.91,,,,
BRENT UKOILROLL,Alternative,Sell,70.95,68.94,,,,
BRENT UKOILV5 Future Contract,ScenarioOne,Buy,71.93,73.95,,,,
BRENT UKOILV5 Future Contract,Alternative,Sell,70.96,68.98,,,,
EURUSD,ScenarioOne,Sell,1.1465,1.1405,,,,
EURUSD,Alternative,Buy,1.1495,1.1555,,,,
GBPUSD,ScenarioOne,Sell,1.329,1.3209,,,,
GBPUSD,Alternative,Buy,1.333,1.341,,,,
USDJPY,ScenarioOne,Buy,148.56,149.55,,,,
USDJPY,Alternative,Sell,148.06,147.07,,,,
US30,ScenarioOne,Buy,44523,45007,,,,
US30,Alternative,Sell,44393,43993,,,,
US500,ScenarioOne,Buy,6410,6482,,,,
US500,Alternative,Sell,6375,6305,,,,
UT100,ScenarioOne,Buy,23587,23888,,,,
UT100,Alternative,Sell,23437,23137,,,,
DE40,ScenarioOne,Buy,24239,24388,,,,
DE40,Alternative,Sell,24119,23939,,,,
JP225,ScenarioOne,Buy,40941,41549,,,,
JP225,Alternative,Sell,40641,40041,,,,
UK100,ScenarioOne,Buy,9121,9204,,,,
UK100,Alternative,Sell,9081,9001,,,,
EU50,ScenarioOne,Buy,5390,5450,,,,
EU50,Alternative,Sell,5360,5300,,,,
USDCHF,ScenarioOne,Buy,0.8117,0.818,,,,
USDCHF,Alternative,Sell,0.8087,0.8027,,,,
USDCAD,ScenarioOne,Buy,1.3802,1.3895,,,,
USDCAD,Alternative,Sell,1.3757,1.3667,,,,
AUDUSD,ScenarioOne,Sell,0.6473,0.6404,,,,
AUDUSD,Alternative,Buy,0.6508,0.6578,,,,
NZDUSD,ScenarioOne,Sell,0.5948,0.5896,,,,
NZDUSD,Alternative,Buy,0.5973,0.6023,,,,
GBPJPY,ScenarioOne,Sell,197.57,196.55,,,,
GBPJPY,Alternative,Buy,198.06,199.07,,,,
EURJPY,ScenarioOne,Sell,170.39,169.38,,,,
EURJPY,Alternative,Buy,170.9,171.93,,,,
EURGBP,ScenarioOne,Sell,0.8628,0.8578,,,,
EURGBP,Alternative,Buy,0.8653,0.8703,,,,